Year,Month,tem,rain
1923,2,19.8836,51.6389
1923,3,24.9515,37.3254
1923,4,27.8685,225.583
1923,5,28.1951,217.668
1923,6,28.7014,375.707
1923,7,27.8902,264.157
1923,8,28.1404,741.587
1923,9,28.085,163.07
1923,10,26.1335,111.23
1923,11,22.9939,21.4818
1923,12,19.4361,5.71822
1924,1,18.4881,3.75275
1924,2,20.5691,10.9122
1924,3,26.6422,0.77195
1924,4,28.7039,109.904
1924,5,28.2107,258.384
1924,6,29.0303,642.036
1924,7,27.8485,572.381
1924,8,27.8401,683.449
1924,9,27.397,317.495
1924,10,27.2626,119.125
1924,11,22.7645,143.815
1924,12,19.0319,0.42203
1925,1,16.9382,7.44247
1925,2,19.0482,9.08182
1925,3,24.7465,18.3886
1925,4,27.0765,347.585
1925,5,27.1711,249.362
1925,6,27.9974,528.94
1925,7,27.6439,670.233
1925,8,28.0744,469.48
1925,9,27.5406,219.913
1925,10,25.8388,130.232
1925,11,22.5173,8.96177
1925,12,18.4914,0.20418
1926,1,18.0436,14.6215
1926,2,20.7124,8.2562
1926,3,23.8361,95.8359
1926,4,26.692,109.066
1926,5,27.8134,227.869
1926,6,28.874,277.9
1926,7,27.8577,796.267
1926,8,27.9764,341.633
1926,9,28.0988,258.316
1926,10,26.6226,179.601
1926,11,21.9718,9.40578
1926,12,19.622,25.1592
1927,1,18.0251,17.809
1927,2,19.7421,38.0801
1927,3,23.1684,28.5818
1927,4,27.5302,85.4605
1927,5,27.4235,260.88
1927,6,28.3215,675.394
1927,7,28.2326,656.572
1927,8,27.9566,457.57
1927,9,27.6875,272.553
1927,10,26.8392,150.797
1927,11,22.7253,24.6582
1927,12,19.4851,0
1928,1,18.5036,6.30357
1928,2,21.1361,10.4603
1928,3,25.5137,4.49918
1928,4,27.8824,133.607
1928,5,27.8043,311.074
1928,6,27.5143,586.373
1928,7,27.978,589.271
1928,8,28.1385,495.89
1928,9,28.4182,233.426
1928,10,26.5972,267.452
1928,11,22.4865,10.2458
1928,12,19.461,0.49404
1929,1,18.3725,16.7175
1929,2,19.683,3.23819
1929,3,25.1633,60.8157
1929,4,27.4018,168.841
1929,5,28.3855,242.222
1929,6,28.2485,539.79
1929,7,27.9211,611.303
1929,8,27.8708,332.066
1929,9,27.9973,250.144
1929,10,26.2202,240.915
1929,11,22.3896,6.37303
1929,12,18.5883,6.42947
1930,1,17.1308,5.29223
1930,2,20.2585,23.9319
1930,3,24.836,46.8843
1930,4,27.5107,73.9789
1930,5,28.2023,249.852
1930,6,27.7208,356.157
1930,7,28.0704,701.185
1930,8,27.8828,364.867
1930,9,28.1845,221.913
1930,10,26.5011,111.791
1930,11,22.5794,139.852
1930,12,18.6454,1.11792
1931,1,19.2912,2.36234
1931,2,20.5581,29.9072
1931,3,24.6265,58.5361
1931,4,28.3371,195.949
1931,5,27.7868,293.215
1931,6,28.8507,281.272
1931,7,27.7335,461.884
1931,8,28.6073,276.823
1931,9,27.6722,347.207
1931,10,26.9166,129.201
1931,11,22.3272,33.165
1931,12,19.425,6.29039
1932,1,18.7903,1.61393
1932,2,19.2857,21.3381
1932,3,25.3485,19.255
1932,4,27.8492,195.019
1932,5,27.9615,382.466
1932,6,28.2926,589.857
1932,7,27.9526,566.606
1932,8,28.0368,261.476
1932,9,28.1666,288.672
